point,numerical_iteration,numerical_gross_mass_kg,numerical_battery_mass_kg,numerical_structure_mass_kg,numerical_propulsion_mass_kg,numerical_total_disk_area_m2,numerical_ideal_induced_power_w,numerical_propulsion_hover_power_w,numerical_total_hover_power_w,numerical_required_nominal_battery_energy_wh,numerical_installed_nominal_battery_energy_wh,numerical_energy_limited_battery_mass_kg,numerical_power_limited_battery_mass_kg,numerical_relative_mass_change
middle,17.0,8.38135403,3.56220308,1.67432843,1.10331894,1.36618849,405.65277754,906.13024103,985.47806712,684.35976883,684.35976883,3.56220308,2.78180999,0.00269727
middle,18.0,8.39965991,3.57106155,1.67727296,1.10630293,1.36988342,406.74988992,908.58092487,987.92875096,686.06163261,686.06163261,3.57106155,2.78905935,0.00217936
middle,19.0,8.41448315,3.57823473,1.6796573,1.10871923,1.37287541,407.63828038,910.56537439,989.91320047,687.43972255,687.43972255,3.57823473,2.79492955,0.00176164
middle,20.0,8.42648633,3.58404324,1.68158803,1.11067583,1.37529819,408.35765755,912.17228908,991.52011517,688.55563553,688.55563553,3.58404324,2.79968296,0.00142446
middle,21.0,8.43620594,3.5887467,1.68315145,1.1122602,1.37726004,408.94017564,913.47349368,992.82131977,689.45924984,689.45924984,3.5887467,2.80353205,0.00115213
middle,22.0,8.44407643,3.59255534,1.68441743,1.11354315,1.37884865,409.41187164,914.5271485,993.87497459,690.19095458,690.19095458,3.59255534,2.80664886,0.00093207
middle,23.0,8.45044959,3.5956394,1.68544256,1.11458202,1.38013504,409.79382906,915.38034905,994.72817514,690.78345496,690.78345496,3.5956394,2.80917271,0.00075418
middle,24.0,8.45561027,3.59813673,1.68627267,1.11542325,1.38117669,410.10312038,916.07123108,995.41905717,691.26323414,691.26323414,3.59813673,2.81121641,0.00061033
middle,25.0,8.45978915,3.60015895,1.68694485,1.11610444,1.38202017,410.35357006,916.63067514,995.97850122,691.65173696,691.65173696,3.60015895,2.8128713,0.00049397
middle,26.0,8.46317301,3.60179645,1.68748915,1.11665603,1.38270319,410.55637254,917.08368685,996.43151293,691.96632843,691.96632843,3.60179645,2.81421135,0.00039983
middle,27.0,8.46591311,3.60312242,1.6879299,1.11710269,1.38325626,410.72059253,917.45051461,996.7983407,692.22106993,692.22106993,3.60312242,2.81529646,0.00032366
middle,28.0,8.46813191,3.60419613,1.68828679,1.11746437,1.38370411,410.85357023,917.74755463,997.09538072,692.42734772,692.42734772,3.60419613,2.81617513,0.00026202
middle,29.0,8.46992859,3.60506557,1.68857579,1.11775724,1.38406676,410.96124936,917.98808379,997.33590988,692.59438186,692.59438186,3.60506557,2.81688664,0.00021212
middle,30.0,8.47138346,3.6057696,1.68880981,1.11799439,1.38436042,411.04844291,918.18285309,997.53067918,692.72963832,692.72963832,3.6057696,2.81746279,0.00017174
middle,31.0,8.47256154,3.60633969,1.68899931,1.11818643,1.38459821,411.11904818,918.34056819,997.68839428,692.83916269,692.83916269,3.60633969,2.81792932,0.00013905
