case,payload_mass_kg,payload_power_w,endurance_min,conditional_class,owner_requirement_class,converged,iterations,gross_mass_kg,battery_mass_kg,battery_mass_fraction,total_hover_power_w,required_nominal_battery_energy_wh,installed_nominal_battery_energy_wh,battery_sizing_driver,achievable_endurance_min,equivalent_rotor_diameter_m,battery_discharge_margin,platform_cost_usd,feasibility_burden
adverse,0.25,0.0,60.0,INFEASIBLE,UNDETERMINED,False,2,50.166159,50.303204,1.002732,3662.073232,6539.416485,6539.416485,energy,60.0,0.721007,1.958156,22575.44,10.0
adverse,0.25,50.0,10.0,INFEASIBLE,UNDETERMINED,False,3,55.679125,47.217341,0.848026,5873.673181,1748.117018,6138.254268,power,35.11352,0.910632,1.15,26299.42,10.0
adverse,0.25,50.0,20.0,INFEASIBLE,UNDETERMINED,False,3,55.679125,47.217341,0.848026,5873.673181,3496.234036,6138.254268,power,35.11352,0.910632,1.15,26299.42,10.0
adverse,0.25,50.0,30.0,INFEASIBLE,UNDETERMINED,False,3,55.679125,47.217341,0.848026,5873.673181,5244.351054,6138.254268,power,35.11352,0.910632,1.15,26299.42,10.0
adverse,0.25,50.0,45.0,INFEASIBLE,UNDETERMINED,False,3,87.956693,82.327732,0.936003,7991.278515,10702.605154,10702.605154,energy,45.0,1.064704,1.469291,39651.59,10.0
adverse,0.25,50.0,60.0,INFEASIBLE,UNDETERMINED,False,2,52.370842,52.808332,1.008354,3844.44657,6865.08316,6865.08316,energy,60.0,0.733217,1.977118,23470.45,10.0
adverse,0.25,100.0,10.0,INFEASIBLE,UNDETERMINED,False,3,56.523752,48.02124,0.849576,6010.559007,1788.856847,6242.761139,power,34.898048,0.916771,1.15,26667.07,10.0
adverse,0.25,100.0,20.0,INFEASIBLE,UNDETERMINED,False,3,56.523752,48.02124,0.849576,6010.559007,3577.713695,6242.761139,power,34.898048,0.916771,1.15,26667.07,10.0
adverse,0.25,100.0,30.0,INFEASIBLE,UNDETERMINED,False,3,56.523752,48.02124,0.849576,6010.559007,5366.570542,6242.761139,power,34.898048,0.916771,1.15,26667.07,10.0
adverse,0.25,100.0,45.0,INFEASIBLE,UNDETERMINED,False,3,91.743558,86.132357,0.938838,8360.580813,11197.206446,11197.206446,energy,45.0,1.085457,1.475507,41268.09,10.0
adverse,0.25,100.0,60.0,INFEASIBLE,UNDETERMINED,False,2,54.575526,55.31346,1.013521,4026.819908,7190.749835,7190.749835,energy,60.0,0.745227,1.994683,24365.46,10.0
adverse,0.5,0.0,10.0,INFEASIBLE,UNDETERMINED,False,3,56.375713,47.571745,0.843834,5879.229834,1749.770784,6184.32685,power,35.34364,0.915698,1.15,26548.75,10.0
adverse,0.5,0.0,20.0,INFEASIBLE,UNDETERMINED,False,3,56.375713,47.571745,0.843834,5879.229834,3499.541568,6184.32685,power,35.34364,0.915698,1.15,26548.75,10.0
adverse,0.5,0.0,30.0,INFEASIBLE,UNDETERMINED,False,3,56.375713,47.571745,0.843834,5879.229834,5249.312351,6184.32685,power,35.34364,0.915698,1.15,26548.75,10.0
adverse,0.5,0.0,45.0,INFEASIBLE,UNDETERMINED,False,3,86.098178,80.151907,0.930936,7780.078474,10419.747956,10419.747956,energy,45.0,1.05437,1.462419,38804.37,10.0
adverse,0.5,0.0,60.0,INFEASIBLE,UNDETERMINED,False,2,51.008162,50.951358,0.998886,3709.258834,6623.67649,6623.67649,energy,60.0,0.725694,1.957956,22863.38,10.0
adverse,0.5,50.0,10.0,INFEASIBLE,UNDETERMINED,False,3,57.22034,48.375644,0.845427,6016.115659,1790.510613,6288.833721,power,35.12313,0.921804,1.15,26916.39,10.0
adverse,0.5,50.0,20.0,INFEASIBLE,UNDETERMINED,False,3,57.22034,48.375644,0.845427,6016.115659,3581.021226,6288.833721,power,35.12313,0.921804,1.15,26916.39,10.0
adverse,0.5,50.0,30.0,INFEASIBLE,UNDETERMINED,False,3,57.22034,48.375644,0.845427,6016.115659,5371.531839,6288.833721,power,35.12313,0.921804,1.15,26916.39,10.0
adverse,0.5,50.0,45.0,INFEASIBLE,UNDETERMINED,False,3,89.885044,83.956533,0.934043,8149.380772,10914.349248,10914.349248,energy,45.0,1.075322,1.46905,40420.87,10.0
adverse,0.5,50.0,60.0,INFEASIBLE,UNDETERMINED,False,2,53.212845,53.456486,1.004579,3891.632172,6949.343164,6949.343164,energy,60.0,0.737827,1.976692,23758.39,10.0
adverse,0.5,100.0,10.0,INFEASIBLE,UNDETERMINED,False,3,58.064968,49.179543,0.846974,6153.001485,1831.250442,6393.340592,power,34.912432,0.927869,1.15,27284.04,10.0
adverse,0.5,100.0,20.0,INFEASIBLE,UNDETERMINED,False,3,58.064968,49.179543,0.846974,6153.001485,3662.500884,6393.340592,power,34.912432,0.927869,1.15,27284.04,10.0
adverse,0.5,100.0,30.0,INFEASIBLE,UNDETERMINED,False,3,58.064968,49.179543,0.846974,6153.001485,5493.751326,6393.340592,power,34.912432,0.927869,1.15,27284.04,10.0
adverse,0.5,100.0,45.0,INFEASIBLE,UNDETERMINED,False,3,93.671909,87.761158,0.936899,8518.68307,11408.95054,11408.95054,energy,45.0,1.095874,1.475158,42037.36,10.0
adverse,0.5,100.0,60.0,INFEASIBLE,UNDETERMINED,False,2,55.417529,55.961614,1.009818,4074.00551,7275.009839,7275.009839,energy,60.0,0.749764,1.994064,24653.4,10.0
adverse,1.0,0.0,10.0,INFEASIBLE,UNDETERMINED,False,3,59.458144,49.888352,0.83905,6164.11479,1834.557973,6485.485757,power,35.351762,0.937788,1.15,27782.7,10.0
adverse,1.0,0.0,20.0,INFEASIBLE,UNDETERMINED,False,3,59.458144,49.888352,0.83905,6164.11479,3669.115946,6485.485757,power,35.351762,0.937788,1.15,27782.7,10.0
adverse,1.0,0.0,30.0,INFEASIBLE,UNDETERMINED,False,3,59.458144,49.888352,0.83905,6164.11479,5503.67392,6485.485757,power,35.351762,0.937788,1.15,27782.7,10.0
adverse,1.0,0.0,45.0,INFEASIBLE,UNDETERMINED,False,3,89.95488,83.409509,0.927237,8096.282989,10843.236145,10843.236145,energy,45.0,1.075705,1.462205,40342.91,10.0
adverse,1.0,0.0,60.0,INFEASIBLE,UNDETERMINED,False,2,52.692168,52.247665,0.991564,3803.630039,6792.196498,6792.196498,energy,60.0,0.73498,1.957573,23439.25,10.0
adverse,1.0,50.0,10.0,INFEASIBLE,UNDETERMINED,False,3,60.302771,50.692251,0.840629,6301.000616,1875.297802,6589.992627,power,35.141046,0.943751,1.15,28150.34,10.0
adverse,1.0,50.0,20.0,INFEASIBLE,UNDETERMINED,False,3,60.302771,50.692251,0.840629,6301.000616,3750.595605,6589.992627,power,35.141046,0.943751,1.15,28150.34,10.0
adverse,1.0,50.0,30.0,INFEASIBLE,UNDETERMINED,False,3,60.302771,50.692251,0.840629,6301.000616,5625.893407,6589.992627,power,35.141046,0.943751,1.15,28150.34,10.0
